srid,recommendation,keywords,hazmat,most_wanted,priority,priority_number,nprm,is_reiterated,times_reiterated,rec_letter_url
R-25-013,TO THE SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHROITY: Create an expedited procurement or retrofit schedule and seek funding from appropriate sources as soon as possible to accelerate the replacement of the Silverliner IV fleet or its retrofit to include modern feedback systems and meet Title 49 Code of Federal Regulations Part 238 fire safety standards for new railcars. (Urgent),NA,FALSE,FALSE,Urgent,1,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-012-014.pdf
R-25-014,"TO THE SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHROITY: Pending replacement or retrofit of the Silverliner IV fleet, implement a plan to monitor the success of your risk-mitigation approach to the Silverliner IV fleet, including provisions for immediately removing the fleet from service again if your mitigations fail to prevent fires. (Urgent)",NA,FALSE,FALSE,Urgent,1,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-012-014.pdf
R-25-012,"TO THE SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHROITY: Suspend operation of the Silverliner IV fleet until you have determined the root causes of fires, developed and implemented a plan to address these causes, and identified and corrected the organizational factors that have prevented effective risk mitigations. (Urgent)",NA,FALSE,FALSE,Urgent,1,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-012-014.pdf
R-25-011,"TO THE AMERICAN SHORT LINE AND REGIONAL RAILROAD ASSOCIATION AND THE NATIONAL RAILROAD CONSTRUCTION AND MAINTENANCE ASSOCIATION: Urge your members to inform their employees of the circumstances of this accident, the importance of thorough job briefings with railroad contractors, and the requirement to communicate on-track activities and movements with the roadway worker-in-charge.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-006-011.pdf
R-25-008,"TO ALL CLASS I RAILROADS (AMTRAK, BNSF, CANADIAN NATIONAL RAILWAY, CANADIAN PACIFIC KANSAS CITY, CSX TRANSPORTATION, NORFOLK SOUTHERN CORPORATION, AND UNION PACIFIC), THE HOUSATONIC RAILROAD COMPANY, AND MIDDLESEX CORPORATION: Require all on-track roadway maintenance machines (RMMs), including leased or contracted RMMs, to be equipped with collision avoidance systems that can detect people, objects, and other machines on the ground and automatically stop the RMM before a collision.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-006-011.pdf
R-25-007,TO THE FEDERAL RAILROAD ADMINISTRATION: Require all on-track roadway maintenance machines with booms or other movable extensions be equipped with a 360° people detection system that covers the length of the boom or extension in all directions and alerts operators when people are within an unsafe proximity.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-006-011.pdf
R-25-006,"TO THE FEDERAL RAILROAD ADMINISTRATION: Require all on-track roadway maintenance machines (RMMs) be equipped with collision avoidance systems that can detect people, objects, or other machines on the ground and automatically stop the RMM before a collision. (Superseded by Safety Recommendation R-23-22)",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-006-011.pdf
R-25-010,"TO THE AMERICAN SHORT LINE AND REGIONAL RAILROAD ASSOCIATION AND THE NATIONAL RAILROAD CONSTRUCTION AND MAINTENANCE ASSOCIATION: Inform your members of the safety benefits of equipping roadway maintenance machines (RMMs) with collision avoidance systems and, when RMMs have movable extensions, a people detection system that alerts operators of nearby workers.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-006-011.pdf
R-25-009,"TO ALL CLASS I RAILROADS (AMTRAK, BNSF, CANADIAN NATIONAL RAILWAY, CANADIAN PACIFIC KANSAS CITY, CSX TRANSPORTATION, NORFOLK SOUTHERN CORPORATION, AND UNION PACIFIC): Require all on-track roadway maintenance machines (RMMs) with booms or other movable extensions, including leased or contracted RMMs, be equipped with a 360° people detection system that covers the length of the boom or extension in all directions and alerts operators when people are within an unsafe proximity.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-006-011.pdf
R-25-005,"TO CSX TRANSPORTATION: After completing the action described in R-25-4, provide initial and annual recurring training to all employees on the revised operating rules.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-001-005.pdf
R-25-002,"TO THE FEDERAL RAILROAD ADMINISTRATION: Issue guidance on the proper use of railcar safety appliances based on the results of the research described in R-25-1, and encourage railroads to review and revise their operating rules and training for riding equipment based on the federal guidance.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-001-005.pdf
R-25-003,"TO THE CLASS I RAILROADS (BNSF RAILWAY, CANADIAN NATIONAL RAILROAD, CANADIAN PACIFIC KANSAS CITY RAILROAD, CSX TRANSPORTATION, NORFOLK SOUTHERN CORPORATION, AND UNION PACIFIC RAILROAD): Prohibit employees from riding railroad equipment with their feet on railcar safety appliances that restrict foot placement.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-001-005.pdf
R-25-004,"TO CSX TRANSPORTATION: Revise your operating rules to instruct employees on how to safely ride all the types of railcars that you have in various situations that employees might encounter, such as riding across highway-railroad grade crossings.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-001-005.pdf
R-25-001,"TO THE FEDERAL RAILROAD ADMINISTRATION: Conduct research on the effects of foot and hand placement on all railcar safety appliances, taking into consideration the effects that slack action and other railcar movements have on the human body’s center of gravity, to determine where railroad employees can place their feet and hands on these appliances to safely and securely ride equipment, and make the research publicly available.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-25-001-005.pdf
R-24-031,TO NORFOLK SOUTHERN CORPORATION: Develop a policy to ensure that the expertise of manufacturers and shippers of hazardous materials involved in transportation accidents or incidents is communicated to your on-scene representatives and contractors and shared with the full incident command.,NA,TRUE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-24-001-033andI-24-001.pdf
R-24-004,"TO THE FEDERAL RAILROAD ADMINISTRATION: Establish requirements for the installation, inspection, and maintenance of wayside bearing defect detectors to protect the reliability of these devices and improve the safety of railroad operations.",NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-24-001-033andI-24-001.pdf
R-24-023,"TO THE INTERNATIONAL ASSOCIATION OF FIRE CHIEFS, THE INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS, AND THE VOLUNTEER FIRE COUNCIL: Advise your members of the circumstances of the East Palestine derailment and fire, identify fire departments whose personnel are not trained to the NFPA 1010 standard for professional firefighters, recommend that these departments adopt training that meets this standard, and inform them of funded training opportunities available through private, state, and federal programs.",NA,TRUE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-24-001-033andI-24-001.pdf
R-24-022,"TO THE NATIONAL VOLUNTEER FIRE COUNCIL: Identify barriers to adequate fire and emergency response training for volunteer firefighters, particularly for situations where hazardous materials are present, and publish actions states, municipalities, and the private sector can take to provide the flexibility necessary for volunteer firefighters to obtain training.",NA,TRUE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-24-001-033andI-24-001.pdf
R-24-012,TO THE PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION: Obtain the necessary legislative authority and accelerate the deadline for removing specification DOT 111 tank cars from flammable liquids service.,NA,TRUE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-24-001-033andI-24-001.pdf
R-24-005,TO THE FEDERAL RAILROAD ADMINISTRATION: Use the results of the research described in R-24-2 to develop and establish rules governing railroads’ operational responses to bearing alerts and alarms.,NA,FALSE,FALSE,NonUrgent,2,FALSE,FALSE,0,http://www.ntsb.gov/safety/safety-recs/recletters/R-24-001-033andI-24-001.pdf
